Gene,log2FoldChange,pvalue,padj,minus_log10_pvalue,Change
SNORA54,0.09792,0.7584,0.9994,0.120101676,Similar
CARS,-0.02678,0.8754,0.9994,0.057793458,Similar
OSBPL5,-0.03154,0.8707,0.9994,0.060131456,Similar
ZNF195,0.1824,0.447,0.9994,0.349692477,Similar
LOC650368,-0.1858,0.6348,0.9994,0.197363082,Similar
OR7E12P,-0.09766,0.8016,0.9994,0.096042291,Similar
CHRNA10,-0.05773,0.8817,0.9994,0.054679159,Similar
NUP98,-0.212,0.1154,0.9994,0.937794191,Similar
STIM1,-0.0695,0.809,0.9994,0.092051478,Similar
RRM1,-0.1236,0.5105,0.9994,0.292004254,Similar
TRIM21,-0.1902,0.5894,0.9994,0.229589868,Similar
TRIM68,0.03819,0.8318,0.9994,0.079981084,Similar
OR51E1,-0.4921,0.1194,0.9994,0.922995673,Similar
OR51E2,0.2741,0.4642,0.9994,0.333294864,Similar
UBQLNL,0.01559,0.9683,0.9994,0.013990068,Similar
TRIM6,-0.2549,0.5157,0.9994,0.287602869,Similar
TRIM5,-0.2892,0.1803,0.9994,0.744004273,Similar
TRIM22,-0.4528,0.1913,0.9994,0.71828503,Similar
C11orf42,0.3707,0.3319,0.9994,0.478992748,Similar
FAM160A2,0.03107,0.8536,0.9994,0.068745594,Similar
CNGA4,0.02574,0.9476,0.9994,0.023374948,Similar
CCKBR,0.1557,0.5484,0.9994,0.260902554,Similar
SMPD1,-0.1266,0.6163,0.9994,0.210207832,Similar
APBB1,0.135,0.5543,0.9994,0.256255121,Similar
HPX,-0.3088,0.4102,0.9994,0.387004344,Similar
TRIM3,0.1055,0.7094,0.9994,0.149108816,Similar
ARFIP2,0.06674,0.5596,0.9994,0.252122294,Similar
FXC1,-0.04502,0.839,0.9994,0.076238039,Similar
DNHD1,0.0367,0.9216,0.9994,0.035457534,Similar
RRP8,0.0604,0.8167,0.9994,0.087937444,Similar
ILK,-0.05335,0.683,0.9994,0.165579296,Similar
TAF10,-0.1032,0.5729,0.9994,0.241921178,Similar
DCHS1,-0.04941,0.8277,0.9994,0.082127045,Similar
MRPL17,-0.1214,0.6372,0.9994,0.195724233,Similar
GVINP1,-0.004853,0.9901,0.9994,0.004320939,Similar
OR2AG2,0.2403,0.4693,0.9994,0.328549446,Similar
ZNF215,-0.03296,0.9257,0.9994,0.033529736,Similar
ZNF214,0.1193,0.7235,0.9994,0.140561465,Similar
NLRP14,0.1274,0.7416,0.9994,0.129830279,Similar
SYT9,0.2321,0.531,0.9994,0.274905479,Similar
CYB5R2,-0.5124,0.1899,0.9994,0.721475035,Similar
EIF3F,-0.2709,0.2994,0.9994,0.523748204,Similar
TUB,0.2272,0.4259,0.9994,0.37069236,Similar
RIC3,0.1595,0.6203,0.9994,0.207398219,Similar
STK33,-0.1358,0.583,0.9994,0.234331445,Similar
RPL27A,-0.3712,0.1771,0.9994,0.751781439,Similar
SNORA3,-0.2149,0.5838,0.9994,0.233735909,Similar
SNORA45,-0.08032,0.8277,0.9994,0.082127045,Similar
ST5,-0.2384,0.246,0.9994,0.609064893,Similar
AKIP1,0.01769,0.877,0.9994,0.057000407,Similar
TMEM9B,0.1467,0.4878,0.9994,0.311758204,Similar
NRIP3,-0.3564,0.2216,0.9994,0.654430244,Similar
SCUBE2,-0.4836,0.1806,0.9994,0.743282254,Similar
DENND5A,-0.09184,0.6813,0.9994,0.166661611,Similar
TMEM41B,-0.0519,0.7876,0.9994,0.103694293,Similar
IPO7,-0.1182,0.6085,0.9994,0.215739417,Similar
LOC644656,0.04704,0.9042,0.9994,0.043735497,Similar
ZNF143,-0.02311,0.916,0.9994,0.038104526,Similar
